datetime,equity
2021-12-24,1000.0
2021-12-31,1011.4595861985063
2022-01-07,993.0616499525812
2022-01-14,1005.011737186559
2022-01-21,1014.3627772201806
2022-01-28,990.4183636509424
2022-02-04,999.5592679534715
2022-02-11,1027.3967224355836
2022-02-18,1049.444384537328
2022-02-25,1044.3347683391812
2022-03-04,1089.3038147930026
2022-03-11,1099.4788080880137
2022-03-18,1062.4009113254865
2022-03-25,1082.5794713980385
2022-04-01,1064.3806111078852
2022-04-08,1076.745439916388
2022-04-15,1091.1673869345343
2022-04-22,1067.6598344904623
2022-04-29,1048.327347229941
2022-05-06,1041.3596887779224
2022-05-13,1001.2845929034952
2022-05-20,1020.6723790406198
2022-05-27,1024.5985992794556
2022-06-03,1023.2161273643725
2022-06-10,1034.6629948212603
2022-06-17,1016.8235772290286
2022-06-24,1009.6789623718794
2022-07-01,1001.2403538022126
2022-07-08,963.2168462497684
2022-07-15,944.3931086539977
2022-07-22,954.8003572307429
2022-07-29,976.411158207321
2022-08-05,981.3991168769408
2022-08-12,996.3629928857996
2022-08-19,965.7937738994833
2022-08-26,960.7283968026189
2022-09-02,946.3175095597933
2022-09-09,948.8944372095082
2022-09-16,925.6467894854716
2022-09-23,908.8912298746651
2022-09-30,917.9491858622893
2022-10-07,937.0162385151147
2022-10-14,908.9022896499857
2022-10-21,916.4671759693201
2022-10-28,909.388919764095
2022-11-04,929.6559580392125
2022-11-11,979.4525964205037
2022-11-18,967.9504300870127
2022-11-25,970.1728919377002
2022-12-02,993.8579537756691
2022-12-09,992.8343715697415
2022-12-16,991.2865560136146
2022-12-23,994.3832931034007
2022-12-30,1008.1123451977074
2023-01-06,1031.6547359340395
2023-01-13,1061.4055315466267
2023-01-20,1064.6681652662226
2023-01-27,1065.940039428099
2023-02-03,1031.0740977297046
2023-02-10,1031.1570460446096
2023-02-17,1018.5489021790521
2023-02-24,1001.2774040495367
2023-03-03,1025.8301052614115
2023-03-10,1033.9219898747758
2023-03-17,1096.8449225953973
2023-03-24,1092.6532677488656
2023-03-31,1088.695527150366
2023-04-07,1109.5586873152672
2023-04-14,1107.9118867700201
2023-04-21,1094.4117720248514
2023-04-28,1099.9195401345423
2023-05-05,1115.7234060790056
2023-05-12,1111.3957159960296
2023-05-19,1092.741745951431
2023-05-26,1076.1742025210758
2023-06-02,1077.5456146608383
2023-06-09,1084.299266460402
2023-06-16,1082.3969851052475
2023-06-23,1061.9529904249994
2023-06-30,1061.4829499738714
2023-07-07,1063.8608016678143
2023-07-14,1080.953684425901
2023-07-21,1084.6476493830028
2023-07-28,1083.0091436692464
2023-08-04,1074.2182812556161
2023-08-11,1058.0765391751065
2023-08-18,1044.7384501383854
2023-08-25,1058.8507234475533
2023-09-01,1072.3768286647257
2023-09-08,1060.7751243533487
2023-09-15,1063.2525140251776
2023-09-22,1064.4027306585267
2023-09-29,1021.977432528458
2023-10-06,1013.4614055315467
2023-10-13,1068.78240168551
2023-10-20,1095.2760934661612
2023-10-27,1109.1008126169916
2023-11-03,1101.5856952866004
2023-11-10,1071.7740709097493
2023-11-17,1095.137846274653
2023-11-24,1106.2567913932828
2023-12-01,1145.6091309505048
2023-12-08,1108.4206364347708
2023-12-15,1116.7525181725932
